id,key,value,type
243205394,created_by,JOSM,regular
243205417,created_by,JOSM,regular
243205445,created_by,JOSM,regular
243205448,created_by,JOSM,regular
243205469,created_by,JOSM,regular
243205475,created_by,JOSM,regular
243205477,created_by,JOSM,regular
243205479,created_by,JOSM,regular
243205482,created_by,JOSM,regular
243205489,created_by,JOSM,regular
243205491,created_by,JOSM,regular
243205493,created_by,JOSM,regular
243205506,created_by,JOSM,regular
243205514,created_by,JOSM,regular
243205525,created_by,JOSM,regular
243205531,created_by,JOSM,regular
243205571,created_by,JOSM,regular
243205586,created_by,JOSM,regular
243205589,created_by,JOSM,regular
243205595,created_by,JOSM,regular
243205597,created_by,JOSM,regular
243205600,created_by,JOSM,regular
243205605,created_by,JOSM,regular
243205608,created_by,JOSM,regular
243205610,created_by,JOSM,regular
243205612,created_by,JOSM,regular
243205615,created_by,JOSM,regular
243205617,created_by,JOSM,regular
243205619,created_by,JOSM,regular
243205623,created_by,JOSM,regular
243205625,created_by,JOSM,regular
243205627,created_by,JOSM,regular
243205629,created_by,JOSM,regular
243205632,created_by,JOSM,regular
243205634,created_by,JOSM,regular
243205636,created_by,JOSM,regular
243205638,created_by,JOSM,regular
243205640,created_by,JOSM,regular
243205643,created_by,JOSM,regular
243205646,created_by,JOSM,regular
243205648,created_by,JOSM,regular
243205650,created_by,JOSM,regular
243205652,created_by,JOSM,regular
243205654,created_by,JOSM,regular
243205657,created_by,JOSM,regular
243205659,created_by,JOSM,regular
243205661,created_by,JOSM,regular
243205663,created_by,JOSM,regular
243205665,created_by,JOSM,regular
243205667,created_by,JOSM,regular
243205669,created_by,JOSM,regular
243205671,created_by,JOSM,regular
243205674,created_by,JOSM,regular
243205677,created_by,JOSM,regular
243205679,created_by,JOSM,regular
243205681,created_by,JOSM,regular
243205692,created_by,JOSM,regular
243205694,created_by,JOSM,regular
243205697,created_by,JOSM,regular
243205699,created_by,JOSM,regular
243205702,created_by,JOSM,regular
243205706,created_by,JOSM,regular
243205712,created_by,JOSM,regular
243205714,created_by,JOSM,regular
243205716,created_by,JOSM,regular
243205718,created_by,JOSM,regular
243205934,created_by,JOSM,regular
243205938,created_by,JOSM,regular
243205941,created_by,JOSM,regular
243205944,created_by,JOSM,regular
243205946,created_by,JOSM,regular
243205948,created_by,JOSM,regular
243205951,created_by,JOSM,regular
243205953,created_by,JOSM,regular
243205956,created_by,JOSM,regular
243205962,created_by,JOSM,regular
243205964,created_by,JOSM,regular
243205967,created_by,JOSM,regular
243205970,created_by,JOSM,regular
