id,user,uid,version,changeset,timestamp
18266913,Walter Schlögl,78656,7,14104496,2012-11-30T21:30:51Z
18270891,nyem,10463,7,1518798,2009-06-14T20:31:21Z
18272003,mahau,160164,10,11524991,2012-05-07T05:02:57Z
18272029,NE2,207745,7,6886621,2011-01-06T20:34:57Z
18273905,mahau,160164,9,11524991,2012-05-07T05:02:52Z
18277078,Kai Adam,5259280,12,47078785,2017-03-22T20:48:36Z
18278947,nyuriks,339581,15,46945989,2017-03-18T01:46:24Z
18280707,RunRunShow,3553413,9,37465236,2016-02-26T17:01:54Z
18282553,nyem,10463,4,417790,2007-12-25T09:15:43Z
18282673,nyem,10463,2,417790,2007-12-25T09:15:46Z
18282732,nyem,10463,2,417790,2007-12-25T09:15:41Z
18282831,nyem,10463,2,417790,2007-12-25T09:16:25Z
18282892,nyem,10463,1,417790,2007-12-25T09:16:17Z
18282954,RunRunShow,3553413,6,37601421,2016-03-04T06:14:16Z
18283006,nyem,10463,3,417790,2007-12-25T09:17:37Z
18283051,nyem,10463,2,417790,2007-12-25T09:17:35Z
18283159,nyem,10463,5,417790,2007-12-25T09:18:35Z
18283221,nyem,10463,2,417790,2007-12-25T09:18:41Z
18283331,nyem,10463,3,421086,2008-07-07T21:18:12Z
18283429,dannykath,2226712,4,43203706,2016-10-26T21:51:41Z
18283544,kucai,536853,4,14437768,2012-12-28T12:19:17Z
18283623,kucai,536853,3,14437768,2012-12-28T12:19:15Z
18283661,kucai,536853,6,14437768,2012-12-28T12:19:18Z
18283704,nyem,10463,2,417790,2007-12-25T09:21:19Z
18283748,nyem,10463,2,417790,2007-12-25T09:21:15Z
18323335,nyuriks,339581,11,46945989,2017-03-18T01:46:25Z
18323348,nyuriks,339581,10,46945989,2017-03-18T01:46:26Z
18935971,kucai,536853,7,23329975,2014-06-30T09:54:31Z
18935993,nyem,10463,4,751606,2008-11-15T11:59:26Z
18936013,nyem,10463,6,469181,2008-10-19T23:10:15Z
18936451,RunRunShow,3553413,11,49211931,2017-06-03T04:24:40Z
18936526,SNN95,2884703,10,30798400,2015-05-05T08:01:32Z
18946970,kucai,536853,10,25954221,2014-10-09T06:19:10Z
18947149,hizperion,3737072,5,45286921,2017-01-19T02:30:20Z
18947700,nyem,10463,3,579863,2008-01-09T02:00:32Z
18948028,nyem,10463,7,104101,2008-06-09T05:54:30Z
18948794,Kai Adam,5259280,25,49432489,2017-06-11T02:25:18Z
18948879,Kai Adam,5259280,8,49411226,2017-06-10T01:29:48Z
18949871,Samson Cheong,427961,7,43787803,2016-11-19T04:12:48Z
18950260,Samson Cheong,427961,14,43787803,2016-11-19T04:12:48Z
19177181,kucai,536853,11,14094762,2012-11-30T04:52:31Z
19177334,nyem,10463,1,488245,2007-12-31T10:19:59Z
19178650,mahau,160164,17,11923101,2012-06-17T09:13:13Z
19179587,kucai,536853,7,15122113,2013-02-22T11:32:39Z
19205371,kucai,536853,6,14094762,2012-11-30T04:52:30Z
19206050,maggot27,118021,5,20777818,2014-02-25T20:28:10Z
19207369,kucai,536853,8,13344829,2012-10-03T09:36:12Z
19207507,nyem,10463,3,523396,2008-07-18T02:58:30Z
19207529,angys,3191182,10,44944191,2017-01-06T05:26:38Z
19207613,nyem,10463,6,399389,2009-02-13T17:45:13Z
19344204,nyem,10463,3,104101,2008-06-09T05:42:06Z
19344570,kucai,536853,7,20650197,2014-02-19T06:27:18Z
19345103,samden,427807,10,13228211,2012-09-24T02:17:51Z
19452324,feiming,195668,7,17176899,2013-08-01T09:21:03Z
19452587,kucai,536853,7,20404918,2014-02-06T01:55:39Z
19453472,kucai,536853,28,26356241,2014-10-27T06:02:21Z
19454051,Kai Adam,5259280,8,49708615,2017-06-21T02:13:38Z
19456806,mahau,160164,5,15906889,2013-04-29T11:05:51Z
19456853,kucai,536853,15,19550246,2013-12-20T13:56:35Z
19456967,Tembikai,5259280,13,50268646,2017-07-13T21:27:22Z
19457015,Tembikai,5259280,11,50268646,2017-07-13T21:27:21Z
19458192,nyem,10463,2,518213,2008-01-02T02:38:23Z
19780472,nyem,10463,4,546765,2008-05-29T17:18:58Z
19780478,nyem,10463,8,711950,2009-01-02T09:00:57Z
19780484,nyem,10463,4,537787,2008-01-04T07:21:38Z
19780508,nyem,10463,3,104101,2008-06-09T05:51:54Z
19780532,nyem,10463,3,104101,2008-06-09T05:52:39Z
